q_w,q_x,q_y,q_z
0.08126056031878934,-0.8733934743550169,-0.46394074771855953,0.12385290831099857
0.08125652404982658,-0.874189987614644,-0.46251232243030355,0.12357829280976443
0.08122322526184592,-0.8749624580454493,-0.46111114851937957,0.12336933735846838
0.08122745568898823,-0.8757251742794151,-0.4597165844158918,0.12315917175983208
0.08125025544441634,-0.8764725614066191,-0.45833337576727656,0.12298277013187629
0.08123079751163918,-0.8772301843894296,-0.4569418577117306,0.12277173861546103
0.08121845167196794,-0.8779697207776254,-0.4555667185794097,0.12260382305807506
0.08119302965947241,-0.8786887098508813,-0.4542259695300188,0.12244432089657842
0.08120294768306739,-0.8794236088083679,-0.45284358524008567,0.12228198912739817
0.08118192775947679,-0.8801436708089955,-0.4514914023795165,0.12211521984379865
0.08118533686676113,-0.880872185466583,-0.45011985130773974,0.12192314549688558
